Match point|ULAN concat|Wikidata concat|VIAF concat|LC concat|Name|Label|Birth date|Death date|Ancestry/Heritage|Indexes|Description|Watsonline|Watsonline URL|Met Collection|Met Collection URL|Wikipedia|Wikipedia URL|Art Asia America|AAA URL
AAPI-0099||Q6313941|16883563|no2001102256|Chodos, Junko|Junko Chodos (Takahashi)|1939||Japanese||draftsperson;mixed-media artist;painter;sculptor|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(Junko%20Chodos)&searchscope=1&SORT=R|||Wikipedia|https://en.wikipedia.org/wiki/Junko_Chodos |artasiamerica|http://artasiamerica.org/artist/detail/37
AAPI-0101||Q5232359|24298046|no2003101407|Choe, David|David Choe|1976||Korean||graffiti/street artist;illustrator;muralist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Choe%2C+David%22%20or%20%22David%20Choe%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/David_Choe||
AAPI-0103||Q110720220|||Choi, Eun Young|Eun Young Choi|||Korean|||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Choi%2C+Eun%20Young%22%20or%20%22Eun%20Young%20Choi%22&searchscope=1|||||artasiamerica|http://artasiamerica.org/artist/detail/114
AAPI-1191|||||Choi, Flora|Flora Choi|||Korean||installation artist;performance artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Choi, Flora""%20or%20""Flora Choi""&searchscope=1&SORT=A"||||||
AAPI-1008|||||Choi, Ji Won|Ji Won Choi|||Korean||designer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Ji+Won+Choi%22&searchscope=1|Met Collection|https://www.metmuseum.org/art/collection/search?q=Ji+Won+Choi&sortBy=Relevance&pageSize=0||||
AAPI-0105|500332856|Q77353191|||Choi, Sang-Ah|Sang-Ah Choi|1971||Korean||book/paper/zine artist;draftsperson;installation artist;mixed-media artist;painter;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Choi%2C+Sang-Ah%22%20or%20%22Sang-Ah%20Choi%22&searchscope=1||||||
AAPI-0743|||||Choi, Soo|Soo Choi|||Korean||sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Choi%2C+Soo%22%20or%20%22Soo%20Choi%22&searchscope=1||||||
AAPI-0106||Q20010794|||Choi, Sung Ho|Sung Ho Choi|1954||Korean||mixed-media artist;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Choi%2C+Sung%20Ho%22%20or%20%22Sung%20Ho%20Choi%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Sung-ho_Choi |artasiamerica|http://artasiamerica.org/artist/detail/115
AAPI-0107|500116017|Q4709925|5791262|no92020025|Chong, Albert|Albert V. Chong|1958||Chinese||book/paper/zine artist;installation artist;photographer;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22chong%2C+albert%22+or+%22albert+chong%22+or+%22albert+v.+chong%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Albert_Chong|artasiamerica|http://artasiamerica.org/artist/detail/51
AAPI-1192||Q51120252|||Chong, Cecile|Cecile Chong|1964||Chinese||multimedia artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Chong, Cecile""%20or%20""Cecile Chong""&searchscope=1&SORT=A"|||Wikipedia|https://en.wikipedia.org/wiki/Cecile_Chong||
AAPI-0108||Q17510189|||Chong, Fay|Fay Chong|1912|1973|Chinese||painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chong%2C+Fay%22%20or%20%22Fay%20Chong%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Fay_Chong ||
AAPI-0109||Q43128530|||Chong, Theresa|Theresa Chong|1965||Korean||draftsperson;painter;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chong%2C+Theresa%22%20or%20%22Theresa%20Chong%22&searchscope=1|||||artasiamerica|http://artasiamerica.org/artist/detail/46
AAPI-1011|500524133|Q112800922|193602481|n87134589|Fong Chow|Fong Chow|1923|2012|Chinese;Hongkonger||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Chow%2C+Fong%22+or+%22Fong+Chow%22&searchscope=1|Met Collection|https://www.metmuseum.org/art/collection/search?q=Fong+Chow&sortBy=Relevance&pageSize=0&department=19||||
AAPI-0852||Q110909952|||Chow, Milano|Milano Chow|1987||||collagist;draftsperson|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chow%2C+Milano%22%20or%20%22Milano%20Chow%22&searchscope=1||||||
AAPI-0762||Q112087239|305660597||Choy, Katherine|Katherine Choy|1929|1958|Hongkonger;Chinese||ceramicist / potter;designer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Choy%2C+Katherine%22%20or%20%22Katherine%20Choy%22&searchscope=1|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Katherine+Poyu+Choy+%28American+%28born+Hong+Kong%29+1927%E2%80%931958+Port+Chester%2C+New+York%29%22||||
AAPI-0110|500333056|Q4768227|61289151|no2005116699|Chu, Anne|Anne Chu|1959|2016|Chinese||installation artist;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Chu%2C+Anne%22+or+%22Anne+Chu%22+not+%22Chu%2C+Teh-Chun%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Anne_Chu||
AAPI-0875|||||Chu, Charles Chi-Jung|Charles Chi-Jung Chu|1918|2008|Chinese||ink artist/calligrapher;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chu%2C+Charles%20Chi-Jung%22%20or%20%22Charles%20Chi-Jung%20Chu%22&searchscope=1||||||
AAPI-0112|500333825|Q108574235|309815065||Chu, Ken|Ken Chu|1953||Hongkonger||installation artist;mixed-media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chu%2C+Ken%22%20or%20%22Ken%20Chu%22&searchscope=1|||||artasiamerica|http://artasiamerica.org/artist/detail/141
AAPI-0075||Q16266493|88688611|no2006098075|Chuang, Che|Che Chuang|1934||Chinese||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chuang%2C+Che%22%20or%20%22Che%20Chuang%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Chuang_Che||
AAPI-0113|500334535|Q110088975|||Chun, David Paul|David Paul Chun|1899|1989|Chinese;Hawaiian (Kamaʻāina)||painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chun%2C+David%20Paul%22%20or%20%22David%20Paul%20Chun%22&searchscope=1|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22David+Paul+Chun+%28American%2C+Honolulu%2C+Hawaii+1898%E2%80%931989+San+Francisco%2C+California%29%22||||
