Column1|Name|Birth Date|Death Date|Description|Indexes|Watsonline|Watsonline search|Wikipedia|Wikipedia search|AAVAD|AAVAD Search|Met Collection|Met Collection search|Wikidata ID|Library of Congress authority ID|VIAF ID|Union List of Artist Names ID
523|Lion, Jules|1809|1866|painter; photographer; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Lion,%20Jules%22%20or%20%22Jules%20Lion%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Jules_Lion|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=571|||Q12061173|nr95023901|122307943|500028848
524|Little, James|1952||painter|Index of Indigenous and Native American Artists|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Little%2C%20James%22%20or%20%22James%20Little%22%20not%20%22Stanley%20Little%22%20not%20%22jewelry%22)&searchscope=1&SORT=R|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=653|||Q28914213|nr00009934|266247518|500084558
525|Logan, Juan|1946||sculptor||Watsonline|https://library.metmuseum.org/search~S1?/X%22Logan,+Juan%22+or+%22Juan+Logan%22&searchscope=1&SORT=A/X%22Logan,+Juan%22+or+%22Juan+Logan%22&searchscope=1&SORT=A&SUBKEY=%22Logan%2C+Juan%22+or+%22Juan+Logan%22/1%2C6%2C6%2CB/browse#anchor_5|Wikipedia|https://en.wikipedia.org/wiki/Juan_Logan|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=953|||Q22278890|no93026294|96582318|500122169
526|Lowe, Rick|1961||social practice artist||Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Lowe%2C+Rick""+or+""Rick+Lowe""&searchscope=1"|Wikipedia|https://en.wikipedia.org/wiki/Rick_Lowe|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=7758|||Q18201823|nr2005018697|27021718|500248081
527|Mack-Watkins, Jennifer|1979||printmaker||Watsonline|https://library.metmuseum.org/search~S1/X?NOSRCH=%22Mack-Watkins,+Jennifer%22+or+%22Jennifer+Mack-Watkins%22&searchscope=1&SORT=A&SUBKEY=%22Mack-Watkins%2C+Jennifer%22+or+%22Jennifer+Mack-Watkins%22|||||Met Collection|https://www.metmuseum.org/art/collection/search?q=mack-watkins&searchField=ArtistCulture|Q118141612|||
528|Mazloomi, Carolyn|1948||textile/fiber artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Mazloomi%2C+Carolyn%22+or+%22Carolyn+Mazloomi%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Carolyn_L._Mazloomi#:~:text=Mazloomi%20(born%20August%201948)%20is,American%20heritage%20and%20contemporary%20experiences.|||||Q16121853|n97117912|50980611|
529|McDonald, Cecil, Jr.|1965||performance artist; photographer; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22McDonald,%20Cecil,%20Jr.%22%20or%20%22Cecil%20McDonald%22&searchscope=1&SORT=A|||||||Q118150783|||
530|McEwen, V. Mitch|1978||architect||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(Mitch%20McEwen)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/V._Mitch_McEwen|||||Q106610540|||
531|McIver, Beverly|1962||painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22McIver,%20Beverly%22%20or%20%22Beverly%20McIver%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Beverly_McIver|||||Q21985267|no2004088799|12024045|
532|Murff, Zora J.|1987||photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Murff,%20Zora%20J.%22%20or%20%22Zora%20J.%20Murff%22&searchscope=1&SORT=A|||||||Q43387754|||
533|Murry, J. B. (John B.)|1908|1988|painter||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22J.%20B.%20Murray%22)%20or%20(%22John%20B.%20Murray%22)%20or%20(%22Murray%2C%20J.%20B.%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/John_Bunion_Murray|||||Q17403685|no2013044571|68570444|500125681
534|Nacorda, Nadiya|1991||performance artist; photographer; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Nacorda,%20Nadiya%22%20or%20%22Nadiya%20Nacorda%22&searchscope=1&SORT=A|||||||Q118150784|||
535|Newsome, Rashaad|1979||performance artist; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Newsome,%20Rashaad%22%20or%20%22Rashaad%20Newsome%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Rashaad_Newsome|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=10816|||Q28871387|no2012043481|131263823|500294140
536|Odita, Odili Donald|1966||painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Odita,%20Odili%20Donald%22%20or%20%22Odili%20Donald%20Odita%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Odili_Donald_Odita|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=2246|||Q15452872|n2003009730|70761245|500331634
537|Ogunjami, Suzanne Wilson|||painter||Watsonline|https://library.metmuseum.org/search/X?SEARCH=(suzanne)%20and%20(ogunjami)%20and%20(wilson)&searchscope=1&SORT=R|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=4727|||Q118247719|||
539|Oshinowo, Kolade|1948||painter||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=Kolade+Oshinowo&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=7522|||Q118247720|||
540|Pious, Robert|1908|1983|cartoonist / comic book artist; designer; illustrator; muralist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Pious%2C+Robert%22+or+%22Robert+S.+Pious%22+or+%22Robert+Pious%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1732|||Q107616893|no2008185332|53980290|
541|Powell, Judson|1932|2021|assemblage artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Powell,%20Judson%22%20or%20%22Judson%20Powell%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=482|||Q115684982|no93013237|75887317|
