Wikidata ID|Display Name|Birth|Death|Indexes|Description|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|ULAN ID|VIAF ID|LC ID|Reference for inclusion as LGBTQIA+ artist|Reference for inclusion URL
Q26251370|Da Corte, Alex|1981||Index of Latine and Hispanic American Artists|conceptual artist;installation artist;painter;sculptor;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Da+Corte%2C+Alex%22%20or%20%22Alex+Da+Corte%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Alex_Da_Corte|Met Collection|https://www.metmuseum.org/art/collection/search?q=Da%20Corte,%20Alex&searchField=ArtistCulture||https://viaf.org/viaf/314883980||New York Times Magazine article|https://www.nytimes.com/2021/06/15/t-magazine/alex-da-corte.html
Q43078535|Damon, Betsy|1940|||installation artist;performance artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Betsy Damon%22+or+%22Damon, Betsy%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Betsy_Damon|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Damon, Betsy%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500046673|https://viaf.org/viaf/95989438|no2022048053|Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q84852357|DaSilva, Marco|1991||Index of Latine and Hispanic American Artists|graphic artist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22DaSilva%2C+Marco%22%20or%20%22Marco+DaSilva%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Marco_DaSilva||||||Artist's wikipedia entry|https://en.wikipedia.org/wiki/Marco_DaSilva
Q7908495|Davis, Vaginal ||||filmmaker;painter;performance artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Vaginal Davis%22+or+%22Davis, Vaginal %22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Vaginal_Davis|||http://vocab.getty.edu/page/ulan/500490558|https://viaf.org/viaf/164959885|no2011008243|Axis Mundo : queer networks in Chicano L.A|https://library.metmuseum.org:443/record=b1954805~S1
Q555442|Day, F. Holland|1864|1933||painter;photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22F.+Holland+Day%22+or+%22Day%2C+F.+Holland%22+or+%22Fred+Holland+Day%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/F._Holland_Day|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Day, F. Holland%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500013817|https://viaf.org/viaf/63998216|n80090266|Art and homosexuality : a history of ideas / Christopher Reed|https://library.metmuseum.org:443/record=b1752679~S1
Q129022512|de Carlo, Tony||||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Tony de Carlo%22+or+%22de Carlo, Tony%22&searchscope=1||||||||The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q73030200|de Nieves, Raúl|1983|||performance artist;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Raúl de Nieves%22+or+%22de Nieves, Raúl%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Ra%C3%BAl_de_Nieves||||||Artist's wikipedia entry|https://en.wikipedia.org/wiki/Ra%C3%BAl_de_Nieves
Q6199963|De Sana, Jimmy|1949|1990||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jimmy De Sana%22+or+%22De Sana, Jimmy%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jimmy_De_Sana|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22De Sana, Jimmy%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500094230|https://viaf.org/viaf/5820936|n91055439|"Aperture article: ""Surreal Sexuality"" "|https://aperture.org/editorial/jimmy-desana/
Q2893161|Delaney, Beauford|1901|1979|Index of Black Artists of North America|painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Delaney%2C+Beauford+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Beauford_Delaney|Met Collection|https://www.metmuseum.org/art/collection/search?q=Delaney,%20Beauford&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500062429|https://viaf.org/viaf/35290063|n85364216|Artist's wikipedia entry|https://en.wikipedia.org/wiki/Beauford_Delaney
Q118829415|Delano, Pablo|1954|||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Pablo Delano%22+or+%22Delano, Pablo%22&searchscope=1||||||||Erotic islands : art and activism in the queer Caribbean|https://library.metmuseum.org:443/record=b1972131~S1
